pre-specified mean daily river flow [m3/s] for selected sub-basins (MAP-IDs)		
Date	Timestep	Subbasin-ID.
08122002	1	1310	1962
09122002	1	1316	2145
10122002	1	1302	2158
11122002	1	1301	2210
12122002	1	1311	2189
13122002	1	1291	2150
14122002	1	1314	2118
15122002	1	1305	1971
16122002	1	1312	2074
17122002	1	1304	2190
18122002	1	1616	2177
19122002	1	1378	2150
20122002	1	1353	2198
21122002	1	1359	2094
22122002	1	1309	1961
23122002	1	1586	2053
24122002	1	1804	1886
25122002	1	1811	1415
26122002	1	1997	1932
27122002	1	1808	1771
28122002	1	1781	1600
29122002	1	1607	1623
30122002	1	1839	1611
31122002	1	1782	1726
01012003	1	1750	1462
02012003	1	1756	1864
03012003	1	1839	1750
04012003	1	1631	1711
05012003	1	1604	1594
06012003	1	1610	1748
07012003	1	1636	1931
08012003	1	1600	1960
09012003	1	1640	1937
10012003	1	1807	1939
11012003	1	1830	1740
12012003	1	1807	1809
13012003	1	1769	1826
14012003	1	1802	1932
15012003	1	1827	1997
16012003	1	1930	1942
17012003	1	1907	2108
18012003	1	1901	2118
19012003	1	1922	1983
20012003	1	2019	1958
21012003	1	2159	1907
22012003	1	2204	1717
23012003	1	2223	1722
24012003	1	2188	1776
25012003	1	2190	1654
26012003	1	1993	1584
27012003	1	1735	1772
28012003	1	1807	1835
29012003	1	1777	1859
30012003	1	1470	1816
31012003	1	1402	1839
01022003	1	1370	1657
02022003	1	1387	1570
03022003	1	1381	1700
04022003	1	1358	1663
05022003	1	1345	1734
06022003	1	1410	1736
07022003	1	1424	1728
08022003	1	1600	1744
09022003	1	1591	1553
10022003	1	1868	1880
11022003	1	1710	1866
12022003	1	1799	1771
13022003	1	1776	1678
14022003	1	1980	1680
15022003	1	1970	1583
16022003	1	1983	1457
17022003	1	1980	1579
18022003	1	2034	1701
19022003	1	2032	1819
20022003	1	2037	1849
21022003	1	2018	1749
